canonical_name,count,size_bytes,size_kb,lastwritetime,sample_path_1,sample_path_2,sample_path_3
crypto_model.pkl,2,2517329745,2458329.83,2026-03-14 01:17:24,C:\Users\localonly\Documents\FXJEFE_Project\crypto_model.pkl,C:\Users\localonly\Documents\FXJEFE_Project\models\crypto_model.pkl,
my_model.onnx,2,1221052590,1192434.17,2026-04-11 10:01:20,C:\Users\localonly\Documents\FXJEFE_Project\my_model.onnx,C:\Users\localonly\Documents\FXJEFE_Project\models\my_model.onnx,
alglib.mqh,2,2478270,2420.19,2025-07-13 19:20:02,C:\Users\localonly\Documents\FXJEFE_Project\alglib.mqh,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\alglib.mqh,
11_feature_rf_XRP_2025_FINAL.pkl,2,1393425,1360.77,2026-04-11 08:22:15,C:\Users\localonly\Documents\FXJEFE_Project\11_feature_rf_XRP_2025_FINAL.pkl,C:\Users\localonly\Documents\FXJEFE_Project\models\11_feature_rf_XRP_2025_FINAL.pkl,
11_feature_rf.pkl,2,1051825,1027.17,2026-04-11 08:22:16,C:\Users\localonly\Documents\FXJEFE_Project\11_feature_rf.pkl,C:\Users\localonly\Documents\FXJEFE_Project\models\11_feature_rf.pkl,
alglibinternal.mqh,2,593648,579.73,2025-07-13 19:19:58,C:\Users\localonly\Documents\FXJEFE_Project\alglibinternal.mqh,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\alglibinternal.mqh,
alglibinternal 2.mqh,2,593648,579.73,2025-07-13 19:35:32,C:\Users\localonly\Documents\FXJEFE_Project\alglibinternal 2.mqh,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\alglibinternal 2.mqh,
alglibinternal 1.mqh,2,593648,579.73,2025-07-13 19:35:28,C:\Users\localonly\Documents\FXJEFE_Project\alglibinternal 1.mqh,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\alglibinternal 1.mqh,
Math.mqh,2,434790,424.6,2026-04-11 08:24:34,C:\Users\localonly\Documents\FXJEFE_Project\Math.mqh,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Math.mqh,
Math (2) - Copy.mqh,2,434790,424.6,2026-04-11 08:24:34,C:\Users\localonly\Documents\FXJEFE_Project\Math (2) - Copy.mqh,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Math (2) - Copy.mqh,
Math - Copy.mqh,2,434790,424.6,2026-04-11 08:24:34,C:\Users\localonly\Documents\FXJEFE_Project\Math - Copy.mqh,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Math - Copy.mqh,
Math (2).mqh,2,434790,424.6,2026-04-11 08:24:34,C:\Users\localonly\Documents\FXJEFE_Project\Math (2).mqh,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Math (2).mqh,
Math (1) - Copy.mqh,2,434790,424.6,2026-04-11 08:24:34,C:\Users\localonly\Documents\FXJEFE_Project\Math (1) - Copy.mqh,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Math (1) - Copy.mqh,
Math (1).mqh,2,434790,424.6,2026-04-11 08:24:34,C:\Users\localonly\Documents\FXJEFE_Project\Math (1).mqh,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Math (1).mqh,
base.py,2,273193,266.79,2025-12-18 03:01:49,C:\Users\localonly\Documents\FXJEFE_Project\base.py,C:\Users\localonly\Documents\FXJEFE_Project\Scripts\base.py,
base (2).py,2,273185,266.78,2025-06-24 23:54:00,C:\Users\localonly\Documents\FXJEFE_Project\base (2).py,C:\Users\localonly\Documents\FXJEFE_Project\Scripts\base (2).py,
Quantum Algo AI FIXED.ex5,2,191964,187.46,2025-11-19 22:00:46,C:\Users\localonly\Documents\FXJEFE_Project\Quantum Algo AI FIXED.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Quantum Algo AI FIXED.ex5,
FXJEFE_ALGO_AIOG12.04.ex5,2,184030,179.72,2026-04-13 08:45:36,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AIOG12.04.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AIOG12.04.ex5,
FXJEFE_ALGO_AIOG.ex5,2,179624,175.41,2026-04-11 08:21:12,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AIOG.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AIOG.ex5,
FXJEFE_ALGO_AIOG (2).ex5,2,179624,175.41,2026-04-11 08:02:44,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AIOG (2).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AIOG (2).ex5,
Quantum777 (2).ex5,2,178926,174.73,2025-11-28 11:20:20,C:\Users\localonly\Documents\FXJEFE_Project\Quantum777 (2).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Quantum777 (2).ex5,
Quantum Algo AIusb.ex5,2,176914,172.77,2025-11-23 03:05:34,C:\Users\localonly\Documents\FXJEFE_Project\Quantum Algo AIusb.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Quantum Algo AIusb.ex5,
FXJEFE_ALGO_AI (2).ex5,2,158780,155.06,2026-03-26 02:30:40,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI (2).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI (2).ex5,
GrokAmen.mq5,2,152752,149.17,2025-12-06 00:40:56,C:\Users\localonly\Documents\FXJEFE_Project\GrokAmen.mq5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\GrokAmen.mq5,
FXJEFE_ALGO_AIFUNKER.ex5,2,151912,148.35,2026-03-24 04:23:10,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AIFUNKER.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AIFUNKER.ex5,
FXJEFE_ALGO_AI_VANTAGE (2).ex5,2,151834,148.28,2026-03-24 02:28:22,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI_VANTAGE (2).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI_VANTAGE (2).ex5,
QuantumLeep.ex5,2,144298,140.92,2025-12-26 10:43:12,C:\Users\localonly\Documents\FXJEFE_Project\QuantumLeep.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\QuantumLeep.ex5,
FXJEFE_ALGO_AI3334.ex5,2,140780,137.48,2026-04-22 12:09:14,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI3334.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI3334.ex5,
FXJEFE_ALGO_AI333.ex5,2,140576,137.28,2026-04-22 10:19:08,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI333.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI333.ex5,
FXJEFE_ALGO_AIOGnew.ex5,2,140184,136.9,2026-04-13 08:55:50,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AIOGnew.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AIOGnew.ex5,
FXJEFE_ALGO_AIOGpo3.ex5,2,139470,136.2,2026-04-13 03:06:22,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AIOGpo3.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AIOGpo3.ex5,
